timestamp,target_id,x,y,z,vx,vy,vz,status
2.6,5,-783.215,619.746,574.727,-55.7795,44.1374,40.9312,TENTATIVE
2.6,6,-2676.71,4145.65,543.836,64.7195,-100.237,-13.1493,TENTATIVE
2.7,1,283.936,5007.28,2995.48,110.007,4.23956,-8.15933,TENTATIVE
2.7,2,-7755.98,4828.24,3316.94,87.0635,-54.1986,-37.2338,TENTATIVE
2.7,3,274.562,7748.44,3011.59,100.523,-101.205,4.69687,TENTATIVE
2.7,4,-1577.15,2433.34,1920.32,-84.8008,130.837,103.253,TENTATIVE
2.7,5,-788.793,624.159,578.82,-55.7795,44.1374,40.9312,TENTATIVE
2.7,6,-2670.24,4135.63,542.521,64.7195,-100.237,-13.1493,TENTATIVE
2.9,1,304.199,5006.97,2995.97,109.059,3.65134,-7.07346,TENTATIVE
2.9,2,-7738.57,4817.4,3309.49,87.0635,-54.1986,-37.2338,TENTATIVE
2.9,3,294.642,7727.69,3013.84,100.512,-101.437,5.2921,TENTATIVE
2.9,4,-1594.11,2459.51,1940.97,-84.8008,130.837,103.253,TENTATIVE
2.9,5,-799.949,632.987,587.006,-55.7795,44.1374,40.9312,TENTATIVE
2.9,6,-2657.29,4115.58,539.892,64.7195,-100.237,-13.1493,TENTATIVE
3,1,315.105,5007.34,2995.26,109.059,3.65134,-7.07346,TENTATIVE
3,2,-7729.86,4811.98,3305.77,87.0635,-54.1986,-37.2338,TENTATIVE
3,3,305.851,7718.47,3011.89,101.039,-101.02,4.17348,TENTATIVE
3,4,-1602.59,2472.59,1951.3,-84.8008,130.837,103.253,TENTATIVE
3,5,-805.527,637.401,591.099,-55.7795,44.1374,40.9312,TENTATIVE
3,6,-2650.82,4105.56,538.577,64.7195,-100.237,-13.1493,TENTATIVE
3.1,1,325.509,5010.33,2996.18,108.854,5.47635,-5.96015,TENTATIVE
3.1,3,316.69,7710.14,3012.86,101.351,-101.182,4.05652,TENTATIVE
3.1,4,-1611.07,2485.68,1961.62,-84.8008,130.837,103.253,TENTATIVE
3.1,5,-811.105,641.814,595.193,-55.7795,44.1374,40.9312,TENTATIVE
3.1,6,-2644.35,4095.53,537.262,64.7195,-100.237,-13.1493,TENTATIVE
3.1,7,4915.32,477.361,1763.55,-107.013,-10.3928,-38.3948,TENTATIVE
3.2,1,334.649,5009.49,2998.13,107.92,4.78551,-4.65898,TENTATIVE
3.2,3,326.825,7700.02,3013.27,101.351,-101.182,4.05652,TENTATIVE
3.2,4,-1619.55,2498.76,1971.95,-84.8008,130.837,103.253,TENTATIVE
3.2,5,-816.683,646.228,599.286,-55.7795,44.1374,40.9312,TENTATIVE
3.2,6,-2637.88,4085.51,535.947,64.7195,-100.237,-13.1493,TENTATIVE
3.2,7,4904.62,476.322,1759.71,-107.013,-10.3928,-38.3948,TENTATIVE
3.4,1,353.25,5009.35,2999.42,106.329,4.25475,-3.53541,TENTATIVE
3.4,3,348.083,7680.09,3013.18,101.788,-101.056,3.67586,TENTATIVE
3.4,4,-1636.51,2524.93,1992.6,-84.8008,130.837,103.253,TENTATIVE
3.4,5,-827.839,655.056,607.472,-55.7795,44.1374,40.9312,TENTATIVE
3.4,6,-2624.94,4065.46,533.317,64.7195,-100.237,-13.1493,TENTATIVE
3.4,7,4883.21,474.243,1752.03,-107.013,-10.3928,-38.3948,TENTATIVE
3.5,1,363.94,5009.06,3000.25,106.362,3.89269,-2.93244,TENTATIVE
3.5,3,360.574,7670.41,3012.19,102.781,-100.887,3.10563,TENTATIVE
3.5,4,-1644.99,2538.01,2002.93,-84.8008,130.837,103.253,TENTATIVE
3.5,5,-833.417,659.469,611.565,-55.7795,44.1374,40.9312,TENTATIVE
3.5,6,-2618.46,4055.44,532.002,64.7195,-100.237,-13.1493,TENTATIVE
3.5,7,4872.51,473.204,1748.19,-107.013,-10.3928,-38.3948,TENTATIVE
3.6,1,373.208,5008.61,3001.54,105.621,3.47556,-2.12676,TENTATIVE
3.6,3,369.86,7660.42,3012.36,102.358,-100.841,3.05193,TENTATIVE
3.6,4,-1653.47,2551.09,2013.25,-84.8008,130.837,103.253,TENTATIVE
3.6,5,-838.995,663.883,615.658,-55.7795,44.1374,40.9312,TENTATIVE
3.6,6,-2611.99,4045.41,530.687,64.7195,-100.237,-13.1493,TENTATIVE
3.6,7,4861.81,472.165,1744.35,-107.013,-10.3928,-38.3948,TENTATIVE
3.7,1,383.08,5008.47,3002.24,105.249,3.23194,-1.6654,TENTATIVE
3.7,3,381.094,7650.3,3012.64,102.781,-100.86,3.03986,TENTATIVE
3.7,4,-1661.95,2564.18,2023.58,-84.8008,130.837,103.253,TENTATIVE
3.7,5,-844.573,668.297,619.751,-55.7795,44.1374,40.9312,TENTATIVE
3.7,6,-2605.52,4035.39,529.372,64.7195,-100.237,-13.1493,TENTATIVE
3.7,7,4851.11,471.125,1740.52,-107.013,-10.3928,-38.3948,TENTATIVE
3.9,1,402.654,5008.76,3002.7,104.47,3.05726,-1.26264,TENTATIVE
3.9,3,399.79,7630.6,3012.29,102.032,-100.668,2.66571,TENTATIVE
3.9,4,-1678.91,2590.35,2044.23,-84.8008,130.837,103.253,TENTATIVE
3.9,5,-855.729,677.124,627.938,-55.7795,44.1374,40.9312,TENTATIVE
3.9,6,-2592.58,4015.34,526.742,64.7195,-100.237,-13.1493,TENTATIVE
3.9,7,4829.71,469.047,1732.84,-107.013,-10.3928,-38.3948,TENTATIVE
