timestamp,target_id,x,y,z,vx,vy,vz
0.0,1,1002.4999999619229,4000.000436332311,3000.0,249.99999619228228,0.0436332310783342,0.0
0.0,2,1001.4999999086148,7500.000523598765,3000.0,149.9999908614775,0.05235987649651451,0.0
0.0,3,1000.499999931461,11000.000261799376,3000.0,49.99999314610821,0.02617993758368515,0.0
0.01,1,1004.9999998096141,4000.0013089969193,3000.0,249.99998476912918,0.08726646082752418,0.0
0.01,2,1002.9999995430738,7500.001570796231,3000.0,149.9999634459111,0.10471974661313688,0.0
0.01,3,1000.9999996573054,11000.000785398055,3000.0,49.99997258443473,0.05235986798999193,0.0
0.02,1,1007.4999994669196,4000.0026179937986,3000.0,249.99996573054108,0.13089968791842574,0.0
0.02,2,1004.4999987206069,7500.003141592271,3000.0,149.99991775330417,0.15707960396997578,0.0
0.02,3,1001.4999990404552,11000.001570795896,3000.0,49.99993831498519,0.07853978404154395,0.0
0.03,1,1009.9999988576848,4000.004363322909,3000.0,249.99993907651856,0.1745329110218948,0.0
0.03,2,1005.9999972584435,7500.005235986693,3000.0,149.99985378366227,0.20943944218714142,0.0
0.03,3,1001.9999979438329,11000.00261799268,3000.0,49.999890337768974,0.10471967856096871,0.0
0.04,1,1012.4999979057554,4000.006544984197,3000.0,249.99990480706242,0.21816612880878739,0.0
0.04,2,1007.4999949738134,7500.007853979242,3000.0,149.99977153699317,0.2617992548847463,0.0
0.04,3,1002.4999962303609,11000.003926988125,3000.0,49.99982865279925,0.13089954437089968,0.0
0.05,1,1014.9999965349772,4000.009162977596,3000.0,249.9998629221737,0.2617993399499597,0.0
0.05,2,1008.9999916839464,7500.010995569599,3000.0,149.9996710133069,0.3141590356829061,0.0
0.05,3,1002.9999937629618,11000.005497781869,3000.0,49.99975326009292,0.15707937429397817,0.0
0.06,1,1017.4999946691958,4000.0122173030272,3000.0,249.99981342185364,0.30543254311626805,0.0
0.06,2,1010.4999872060725,7500.014660757381,3000.0,149.99955221261573,0.3665187782017404,0.0
0.06,3,1003.4999904045585,11000.00733037348,3000.0,49.999664159670665,0.18325916115285532,0.0
0.07,1,1019.9999922322568,4000.015707960397,3000.0,249.99975630610382,0.3490657369785691,0.0
0.07,2,1011.9999813574219,7500.018849542142,3000.0,149.99941513493408,0.4188784760613733,0.0
0.07,3,1003.9999860180741,11000.009424762458,3000.0,49.999561351556906,0.20943889777019412,0.0
0.08,1,1022.4999891480061,4000.019634949599,3000.0,249.99969157492595,0.39269892020771974,0.0
0.08,2,1013.4999739552247,7500.023561923371,3000.0,149.99925978027872,0.4712381228819345,0.0
