timestamp,target_id,x,y,z,vx,vy,vz,status
1.5,6,366.853,3496.24,120.98,-14.4221,-137.448,-4.75609,TENTATIVE
1.5,7,-4663.24,430.461,3956.09,-84.7034,7.81893,71.8588,TENTATIVE
1.5,8,4986.44,4310.86,3827.43,-16.446,-14.2179,-12.6234,TENTATIVE
1.6,1,157.823,4996.17,2985.39,123.717,19.833,-32.1805,TENTATIVE
1.6,2,-1551.42,933.146,979.919,-77.8002,46.7951,49.1407,TENTATIVE
1.6,3,561.896,5856.94,882.075,-13.9805,-145.726,-21.9468,TENTATIVE
1.6,4,-5268.34,5444.67,7199.17,35.1199,-36.2953,-47.9912,TENTATIVE
1.6,5,92.9656,7863.56,2981.65,47.8128,-94.6072,-7.10097,TENTATIVE
1.6,6,365.411,3482.5,120.505,-14.4221,-137.448,-4.75609,TENTATIVE
1.6,7,-4671.71,431.243,3963.28,-84.7034,7.81893,71.8588,TENTATIVE
1.6,8,4984.79,4309.44,3826.17,-16.446,-14.2179,-12.6234,TENTATIVE
1.8,1,180.628,4998.81,2981.33,122.523,19.0318,-30.7605,TENTATIVE
1.8,2,-1566.98,942.505,989.747,-77.8002,46.7951,49.1407,TENTATIVE
1.8,3,559.1,5827.8,877.686,-13.9805,-145.726,-21.9468,TENTATIVE
1.8,4,-5261.31,5437.41,7189.57,35.1199,-36.2953,-47.9912,TENTATIVE
1.8,5,117.791,7842.07,2986.6,56.4389,-96.0506,-3.51509,TENTATIVE
1.8,6,362.526,3455.01,119.553,-14.4221,-137.448,-4.75609,TENTATIVE
1.8,7,-4688.65,432.807,3977.65,-84.7034,7.81893,71.8588,TENTATIVE
1.8,8,4981.5,4306.6,3823.64,-16.446,-14.2179,-12.6234,TENTATIVE
2,1,206.42,4998.84,2981.45,123.277,16.9667,-27.3326,TENTATIVE
2,2,-1582.54,951.864,999.575,-77.8002,46.7951,49.1407,TENTATIVE
2,3,556.304,5798.65,873.296,-13.9805,-145.726,-21.9468,TENTATIVE
2,4,-5254.29,5430.16,7179.97,35.1199,-36.2953,-47.9912,TENTATIVE
2,5,149.854,7818.76,2996.09,67.1974,-98.1482,1.72865,TENTATIVE
2,6,359.642,3427.52,118.602,-14.4221,-137.448,-4.75609,TENTATIVE
2,7,-4766.72,410.706,3922.54,-114.614,-3.75964,37.8613,TENTATIVE
2,8,4978.22,4303.76,3821.12,-16.446,-14.2179,-12.6234,TENTATIVE
2,9,-1493.78,8247.55,5929.11,-9.5627,52.7982,37.9563,TENTATIVE
2.1,1,217.497,4999.67,2981.48,122.517,15.198,-26.6261,TENTATIVE
2.1,2,-1590.32,956.544,1004.49,-77.8002,46.7951,49.1407,TENTATIVE
2.1,3,554.906,5784.08,871.102,-13.9805,-145.726,-21.9468,TENTATIVE
2.1,4,-5250.78,5426.53,7175.17,35.1199,-36.2953,-47.9912,TENTATIVE
2.1,5,161.826,7808.98,2996.25,69.8284,-97.6036,1.93132,TENTATIVE
2.1,6,358.2,3413.77,118.127,-14.4221,-137.448,-4.75609,TENTATIVE
2.1,7,-4778.18,410.33,3926.32,-114.614,-3.75964,37.8613,TENTATIVE
2.1,8,4976.57,4302.33,3819.85,-16.446,-14.2179,-12.6234,TENTATIVE
2.1,9,-1494.74,8252.83,5932.91,-9.5627,52.7982,37.9563,TENTATIVE
2.1,10,4093.49,758.241,935.3,-79.2068,-14.6715,-18.0975,TENTATIVE
2.1,11,5284.66,4222.47,2248.11,104.802,83.737,44.583,TENTATIVE
2.1,12,6075.2,3151.24,4166.69,-16.3297,-8.47032,-11.1998,TENTATIVE
2.1,13,-1351.13,1608.79,797.382,81.4667,-97.0023,-48.0784,TENTATIVE
2.1,14,-5516.05,3647.67,872.268,157.878,-104.402,-24.9657,TENTATIVE
2.2,1,229.748,5001.19,2978.82,122.517,15.198,-26.6261,TENTATIVE
2.2,2,-1598.1,961.223,1009.4,-77.8002,46.7951,49.1407,TENTATIVE
2.2,3,553.508,5769.51,868.907,-13.9805,-145.726,-21.9468,TENTATIVE
2.2,4,-5247.27,5422.9,7170.37,35.1199,-36.2953,-47.9912,TENTATIVE
2.2,5,171.677,7799.75,2994.89,71.2017,-97.3526,1.19037,TENTATIVE
2.2,6,356.757,3400.03,117.651,-14.4221,-137.448,-4.75609,TENTATIVE
2.2,7,-4789.64,409.954,3930.11,-114.614,-3.75964,37.8613,TENTATIVE
2.2,8,4974.93,4300.91,3818.59,-16.446,-14.2179,-12.6234,TENTATIVE
2.2,9,-1495.69,8258.11,5936.7,-9.5627,52.7982,37.9563,TENTATIVE
2.2,10,4085.57,756.774,933.49,-79.2068,-14.6715,-18.0975,TENTATIVE
2.2,11,5295.14,4230.84,2252.57,104.802,83.737,44.583,TENTATIVE
2.2,12,6073.57,3150.39,4165.57,-16.3297,-8.47032,-11.1998,TENTATIVE
2.2,13,-1342.98,1599.08,792.574,81.4667,-97.0023,-48.0784,TENTATIVE
2.2,14,-5500.27,3637.23,869.771,157.878,-104.402,-24.9657,TENTATIVE
2.4,1,250.524,5000.2,2980.77,120.682,13.2703,-23.1504,TENTATIVE
2.4,2,-1613.66,970.582,1019.23,-77.8002,46.7951,49.1407,TENTATIVE
2.4,3,550.712,5740.36,864.518,-13.9805,-145.726,-21.9468,TENTATIVE
2.4,4,-5240.24,5415.64,7160.77,35.1199,-36.2953,-47.9912,TENTATIVE
2.4,5,194.244,7780.1,2995.06,74.9016,-97.4385,1.15941,TENTATIVE
2.4,6,353.873,3372.54,116.7,-14.4221,-137.448,-4.75609,TENTATIVE
2.4,7,-4812.57,409.202,3937.68,-114.614,-3.75964,37.8613,TENTATIVE
2.4,8,4971.64,4298.07,3816.07,-16.446,-14.2179,-12.6234,TENTATIVE
2.4,9,-1497.6,8268.67,5944.29,-9.5627,52.7982,37.9563,TENTATIVE
2.4,10,4069.73,753.839,929.871,-79.2068,-14.6715,-18.0975,TENTATIVE
2.4,11,5316.1,4247.59,2261.49,104.802,83.737,44.583,TENTATIVE
2.4,12,6070.3,3148.7,4163.34,-16.3297,-8.47032,-11.1998,TENTATIVE
2.4,13,-1326.69,1579.68,782.958,81.4667,-97.0023,-48.0784,TENTATIVE
2.4,14,-5468.69,3616.35,864.778,157.878,-104.402,-24.9657,TENTATIVE
2.5,1,262.592,5001.53,2978.45,120.682,13.2703,-23.1504,TENTATIVE
2.5,2,-1621.44,975.262,1024.15,-77.8002,46.7951,49.1407,TENTATIVE
2.5,3,549.314,5725.79,862.323,-13.9805,-145.726,-21.9468,TENTATIVE
2.5,4,-5236.73,5412.01,7155.97,35.1199,-36.2953,-47.9912,TENTATIVE
2.5,5,206.874,7768.9,2998.61,77.1095,-98.0647,2.62262,TENTATIVE
2.5,6,352.431,3358.79,116.224,-14.4221,-137.448,-4.75609,TENTATIVE
2.5,7,-4824.03,408.826,3941.47,-114.614,-3.75964,37.8613,TENTATIVE
2.5,8,4969.99,4296.65,3814.8,-16.446,-14.2179,-12.6234,TENTATIVE
2.5,9,-1498.56,8273.95,5948.09,-9.5627,52.7982,37.9563,TENTATIVE
2.5,10,4061.81,752.372,928.061,-79.2068,-14.6715,-18.0975,TENTATIVE
2.5,11,5326.59,4255.96,2265.95,104.802,83.737,44.583,TENTATIVE
2.5,12,6068.67,3147.85,4162.22,-16.3297,-8.47032,-11.1998,TENTATIVE
2.5,13,-1318.54,1569.98,778.15,81.4667,-97.0023,-48.0784,TENTATIVE
2.5,14,-5452.9,3605.91,862.282,157.878,-104.402,-24.9657,TENTATIVE
2.6,1,274.66,5002.85,2976.14,120.682,13.2703,-23.1504,TENTATIVE
2.6,2,-1629.22,979.941,1029.06,-77.8002,46.7951,49.1407,TENTATIVE
2.6,3,547.916,5711.22,860.128,-13.9805,-145.726,-21.9468,TENTATIVE
2.6,4,-5233.22,5408.38,7151.18,35.1199,-36.2953,-47.9912,TENTATIVE
2.6,5,219.747,7757.74,3002.03,79.2744,-98.6314,3.93499,TENTATIVE
2.6,6,350.989,3345.05,115.749,-14.4221,-137.448,-4.75609,TENTATIVE
2.6,7,-4835.49,408.45,3945.25,-114.614,-3.75964,37.8613,TENTATIVE
2.6,8,4968.35,4295.23,3813.54,-16.446,-14.2179,-12.6234,TENTATIVE
2.6,9,-1499.52,8279.23,5951.88,-9.5627,52.7982,37.9563,TENTATIVE
2.6,10,4053.89,750.905,926.251,-79.2068,-14.6715,-18.0975,TENTATIVE
2.6,11,5337.07,4264.34,2270.41,104.802,83.737,44.583,TENTATIVE
2.6,12,6067.04,3147,4161.1,-16.3297,-8.47032,-11.1998,TENTATIVE
